date,newCases,rollingAvg
2020-03-24,0,1.0
2020-03-25,0,0.8571
2020-03-26,1,1.0
2020-03-27,1,1.1429
2020-03-28,0,1.0
2020-03-29,1,0.7143
2020-03-30,1,0.5714
2020-03-31,1,0.7143
2020-04-01,0,0.7143
2020-04-02,0,0.5714
2020-04-03,1,0.5714
2020-04-04,3,1.0
2020-04-05,1,1.0
2020-04-06,2,1.1429
2020-04-07,0,1.0
2020-04-08,4,1.5714
2020-04-09,0,1.5714
2020-04-10,0,1.4286
2020-04-11,2,1.2857
2020-04-12,1,1.2857
2020-04-13,0,1.0
2020-04-14,1,1.1429
2020-04-15,2,0.8571
2020-04-16,2,1.1429
2020-04-17,1,1.2857
2020-04-18,1,1.1429
2020-04-19,1,1.1429
2020-04-20,1,1.2857
2020-04-21,2,1.4286
2020-04-22,0,1.1429
2020-04-23,6,1.7143
2020-04-24,7,2.5714
2020-04-25,8,3.5714
2020-04-26,9,4.7143
2020-04-27,12,6.2857
2020-04-28,37,11.2857
2020-04-29,21,14.2857
2020-04-30,27,17.2857
2020-05-01,27,20.1429
2020-05-02,55,26.8571
2020-05-03,21,28.5714
2020-05-04,36,32.0
2020-05-05,48,33.5714
2020-05-06,72,40.8571
2020-05-07,71,47.1429
2020-05-08,79,54.5714
2020-05-09,115,63.1429
2020-05-10,59,68.5714
2020-05-11,81,75.0
2020-05-12,104,83.0
2020-05-13,97,86.5714
2020-05-14,150,97.8571
2020-05-15,100,100.8571
2020-05-16,103,99.1429
2020-05-17,114,107.0
2020-05-18,150,116.8571
2020-05-19,163,125.2857
2020-05-20,167,135.2857
2020-05-21,229,146.5714
2020-05-22,225,164.4286
2020-05-23,0,149.7143
2020-05-24,266,171.4286
2020-05-25,0,150.0
2020-05-26,162,149.8571
2020-05-27,419,185.8571
2020-05-28,0,153.1429
2020-05-29,334,168.7143
2020-05-30,370,221.5714
2020-05-31,195,211.4286
2020-06-01,169,235.5714
2020-06-02,138,232.1429
2020-06-03,215,203.0
2020-06-04,484,272.1429
2020-06-05,323,270.5714
2020-06-06,139,237.5714
2020-06-07,0,209.7143
2020-06-08,408,243.8571
2020-06-09,205,253.4286
2020-06-10,272,261.5714
2020-06-11,215,223.1429
2020-06-12,187,203.7143
2020-06-13,41,189.7143
2020-06-14,165,213.2857
2020-06-15,172,179.5714
2020-06-16,264,188.0
2020-06-17,201,177.8571
2020-06-18,182,173.1429
2020-06-19,247,181.7143
2020-06-20,151,197.4286
2020-06-21,123,191.4286
2020-06-22,289,208.1429
2020-06-23,332,217.8571
2020-06-24,327,235.8571
2020-06-25,256,246.4286
2020-06-26,285,251.8571
2020-06-27,262,267.7143
2020-06-28,131,268.8571
2020-06-29,405,285.4286
2020-06-30,458,303.4286
2020-07-01,232,289.8571
2020-07-02,282,293.5714
2020-07-03,546,330.8571
2020-07-04,194,321.1429
2020-07-05,164,325.8571
2020-07-06,364,320.0
2020-07-07,436,316.8571
2020-07-08,405,341.5714
2020-07-09,664,396.1429
2020-07-10,430,379.5714
2020-07-11,193,379.4286
2020-07-12,175,381.0
2020-07-13,416,388.4286
2020-07-14,308,370.1429
2020-07-15,641,403.8571
2020-07-16,282,349.2857
2020-07-17,255,324.2857
2020-07-18,564,377.2857
2020-07-19,125,370.1429
2020-07-20,456,375.8571
2020-07-21,496,402.7143
2020-07-22,573,393.0
2020-07-23,542,430.1429
2020-07-24,955,530.1429
2020-07-25,847,570.5714
2020-07-26,339,601.1429
2020-07-27,745,642.4286
2020-07-28,666,666.7143
2020-07-29,761,693.5714
2020-07-30,546,694.1429
2020-07-31,522,632.2857
2020-08-01,1088,666.7143
2020-08-02,564,698.8571
2020-08-03,666,687.5714
2020-08-04,648,685.0
2020-08-05,1227,751.5714
2020-08-06,819,790.5714
2020-08-07,745,822.4286
2020-08-08,560,747.0
2020-08-09,626,755.8571
2020-08-10,758,769.0
2020-08-11,719,779.1429
2020-08-12,643,695.7143
2020-08-13,994,720.7143
2020-08-14,1075,767.8571
2020-08-15,511,760.8571
2020-08-16,867,795.2857
